"Platform","title","Social platform (extracted from title)","body of listing","subscribers (extracted from body)","bot/real followers  (extracted from body)","aged  (extracted from body)","verified  (extracted from body)","empty account  (extracted from body)","other contacts  (extracted from body)","username","publishes in 2+ platforms","date published","numbre of replies","price, amount (from listing)","price (no currency)","unit","price / 1 unit","auction  (extracted from body)","fees on top  (extracted from body)","cryptocurrency  (extracted from body)","screenshot",
"We The North","TIKTOK ACCOUNTS VERIFIED BY EMAIL -EMAIL INCLUDED-.","tiktok","TIKTOK ACCOUNTS VERIFIED BY EMAIL -EMAIL INCLUDED-.

TIKTOK ACCOUNTS VERIFIED BY EMAIL -EMAIL INCLUDED-. REGISTERED IN IP ADDRESSES OF DIFFERENT COUNTRIES.
 The TikTok accounts are registered automatically.
The accounts are verified by email email is included
Accounts are registered in IP addresses of different countries.",,,,"email verified",,,"badbreed","Y","2023.10.07","not possible to reply, no feedback","54,6$, 1","£54.60",1,"£54.60",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-3.png",
"We The North","TikTok Account with -1000- Followers Full Data Change ,Guaranteed ,","tiktok","TikTok Account with -1000- Followers Full Data Change ,Guaranteed ,

Safety Account Warranty 100percent
 If you have any questions or need a custom deal you can contact us beforehand
Support 24/7
Delivery Full Info when you made Purchase Faster and safe",,,,,,,"badbreed","Y","2023.10.07","not possible to reply, no feedback","67,2$, 1","£67.20",1,"£67.20",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-5.png",
"We The North","TIKTOK ACCOUNTS VERIFIED BY EMAIL -EMAIL INCLUDED- ABOUT 1000 FOLLOWERS -BOTS- .ACCOUNTS ARE EMPTY","tiktok","TIKTOK ACCOUNTS VERIFIED BY EMAIL -EMAIL INCLUDED- ABOUT 1000 FOLLOWERS -BOTS- .ACCOUNTS ARE EMPTY

TIKTOK ACCOUNTS VERIFIED BY EMAIL -EMAIL INCLUDED- ABOUT 1000 FOLLOWERS -BOTS- .ACCOUNTS ARE EMPTY

The TikTok accounts are registered automatically.
The accounts are verified by email -email is included.
The account has about one thousand followers real followers.
The accounts are registered from different countries IPs.

Accounts data format. The data format is specified to facilitate reading the received details and may differ slightly. It does not affect an accounts health.
login-password",,"real",,"email verified",,,"badbreed","Y","2023.10.07","not possible to reply, no feedback","67,2$, 1","£67.20",1,"£67.20",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-8.png",
"We The North","Tiktok account 2.9k followers","tiktok","Tiktok account 2.9k followers

Tiktok account 2.9k followers

likes 10.8k","2.9K followers, 10.8k likes",,,,,,"badbreed","Y","2023.10.07","not possible to reply, no feedback","105$, 1","£105.00",1,"£105.00",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-7.png",
"We The North","TikTok Account 42.4K Followers 1.7M Likes Registered in 02-2022 Full access","tiktok","TikTok Account 42.4K Followers 1.7M Likes Registered in 02-2022 Full access



You will get a TikTok account with 42.4K Followers
 1.7M Likes
- There is a possibility of streaming
 Registered in 02-2022
 Instant Delivery
 Guarantee Trusted Seller
 After your purchase of the account, I will link your email with the tiktok account and I will activate the 2-factor authentication. So if you lose the account it will be your responsibility not mine.","42.4K Followers 1.7M Likes",,"since 02.2022",,,,"badbreed","Y","2023.10.07","not possible to reply, no feedback","185,85$, 1","£185.85",1,"£185.85",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-4.png",
"We The North","Tiktok account","tiktok","Tiktok account


Tiktok account
71.9 k followers","71.9 k followers",,,,,,"badbreed","Y","2023.10.07","not possible to reply, no feedback","205,8$, 1","£205.80",1,"£205.80",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-6.png",
"We The North","TIKTOK ACCOUNT WITH EMAIL VERIFIED-INCLUIDE- plus 2 MONTHS OLD","tiktok","TIKTOK ACCOUNT WITH EMAIL VERIFIED-INCLUIDE- plus 2 MONTHS OLD

TIKTOK ACCOUNT WITH EMAIL VERIFIED-INCLUIDE- plus 2 MONTHS OLD

TikTok accounts are registered manually.
mail is included.
The avatar is loaded in the account profile.
The phone number is not linked.
Registered with UK IP.
Bed linen up to 2 months.",,,"2 months","email verified","avatar",,"badbreed","Y","2023.10.08","not possible to reply, no feedback","33,6$","£33.60","assumed 1","£33.60",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-10.png",
"We The North","AUTOMATIC DELIVERY TikTok ACCOUNTS , VERIFIED BY EMAIL -EMAIL INCLUDED-. ABOUT 50 FOLLOWERS -BOTS-","tiktok","AUTOMATIC DELIVERY TikTok ACCOUNTS , VERIFIED BY EMAIL -EMAIL INCLUDED-. ABOUT 50 FOLLOWERS -BOTS-

 AUTOMATIC DELIVERY TikTok ACCOUNTS , VERIFIED BY EMAIL -EMAIL INCLUDED-. ABOUT 50 FOLLOWERS -BOTS-. THE PROFILE INFORMATION IS PARTIALLY FILLED.",50,"bot",,"email verified",,,"badbreed","Y","2023.10.08","not possible to reply, no feedback","56,7$, 1","£56.70",1,"£56.70",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-9.png",
"We The North","QUALITY TIKTOK ACCOUNT , 162.6k FOLLOWERS , 8M LIKES","tiktok","QUALITY TIKTOK ACCOUNT , 162.6k FOLLOWERS, 8M LIKES 

You will get a TikTok account with
 20percent USA
162.8K REAL FOLLOWERS
 8M LIKES
 NO ROOTS
 MOBILE GAMING n LIVE STUDIO
YOU CAN CHANGE THE NAME WHENEVER YOU WANT
Important 
If you click on the Security - Security Alert tab, the previous owners data, including email and phone, will be returned! And you will lose your access to the account","162.6k FOLLOWERS, 8M LIKES","real",,,,,"badbreed","Y","2023.10.08","not possible to reply, no feedback","$171.15, 1","£171.15",1,"£171.15",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-1.png",
"We The North","Tiktok 34K account","tiktok","Tiktok 34K account

34+k account 300k+ views","34k+ account 300k+ views",,,,,,"badbreed","Y","2023.10.08","not possible to reply, no feedback","344,4$, 1","£344.40",1,"£344.40",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-14.png",
"We The North","TikTok account","tiktok","TikTok account

This account contains 70.3k plus followers, 936.2k likes and is suitable for both personal and Business usage. It is very efficient as it generates very high engagements overall. The demography is mostly USA traffic -you can confirm through image URL-. Interested buyers should not hesitate to contact me 📥","70.3k plus followers, 936.2k likes",,,,,,"badbreed","Y","2023.10.08","not possible to reply, no feedback","966$, 1","£966.00",1,"£966.00",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-13.png",
"We The North","Sell tiktok account 170k fans 2M likes","tiktok","Sell tiktok account 170k fans 2M likes

The number of account fans is 170k, which is still popular. The number of account types. Children play funny moments. Most of the fans are women who can do store bags, clothing toys. The number of likes is 2.3M.","170k fans 2M likes",,,,,,"badbreed","Y","2023.10.08","not possible to reply, no feedback","2010,75$, 1","£2,010.75",1,"£2,010.75",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-12.png",
"We The North","Fast growing Tiktok account","tiktok","Fast growing Tiktok account

A tiktok account with 410,000 followers","410,000 followers",,,,,,"badbreed","Y","2023.10.08","not possible to reply, no feedback","$2,289.00","£2,289.00","assumed 1","£2,289.00",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-11.png",
"We The North","Tiktok Account 1k available","tiktok","Tiktok Account 1k available Tiktok Account 1k",,,,,,,"badbreed","Y","2023.10.15","not possible to reply, no feedback","39,9$, 1","£39.90",1,"£39.90",,,,"2024-05-10 17-16-14 WeTheNorth TikTok-15.png",
